"Date","Price","Open","High","Low","Change %"
"Mar 01, 2018","77.01","76.93","77.73","76.60","0.09%"
"Feb 28, 2018","76.94","77.64","77.81","76.84","-0.94%"
"Feb 27, 2018","77.67","78.08","78.12","77.61","-0.55%"
"Feb 26, 2018","78.10","77.96","78.34","77.77","0.23%"
"Feb 23, 2018","77.92","78.39","78.42","77.63","-0.56%"
"Feb 22, 2018","78.36","78.89","78.91","78.23","-0.66%"
"Feb 21, 2018","78.88","78.85","79.31","78.73","0.01%"
"Feb 20, 2018","78.87","78.58","78.96","78.46","0.37%"
"Feb 19, 2018","78.58","78.42","78.81","78.39","0.03%"
"Feb 16, 2018","78.56","78.61","78.81","78.31","-0.08%"
"Feb 15, 2018","78.62","78.84","78.95","78.33","-0.32%"
"Feb 14, 2018","78.87","78.43","78.97","77.64","0.55%"
"Feb 13, 2018","78.44","78.92","79.03","78.22","-0.61%"
"Feb 12, 2018","78.92","78.81","79.11","78.48","0.11%"
"Feb 09, 2018","78.83","78.50","79.09","78.09","0.45%"
"Feb 08, 2018","78.48","79.14","79.31","78.28","-0.83%"
"Feb 07, 2018","79.14","80.44","80.60","78.94","-1.62%"
"Feb 06, 2018","80.44","79.25","80.58","78.81","1.48%"
"Feb 05, 2018","79.27","80.53","80.56","79.22","-1.42%"
"Feb 02, 2018","80.41","80.92","81.03","80.36","-0.65%"
"Feb 01, 2018","80.94","80.42","81.09","80.34","0.63%"
"Jan 31, 2018","80.43","79.74","80.94","79.69","0.85%"
"Jan 30, 2018","79.75","79.78","79.97","79.17","-0.04%"
"Jan 29, 2018","79.78","79.78","80.00","79.61","-0.24%"
"Jan 26, 2018","79.97","80.16","80.47","79.58","-0.24%"
"Jan 25, 2018","80.16","80.12","80.61","79.94","0.02%"
"Jan 24, 2018","80.14","81.14","81.23","80.11","-1.21%"
"Jan 23, 2018","81.12","81.27","81.58","80.74","-0.20%"
"Jan 22, 2018","81.28","80.63","81.31","80.41","0.83%"
"Jan 19, 2018","80.61","81.13","81.13","80.44","-0.65%"
"Jan 18, 2018","81.14","80.94","81.30","80.67","0.26%"
"Jan 17, 2018","80.93","80.26","81.24","80.14","0.82%"
"Jan 16, 2018","80.27","80.72","81.06","80.19","-0.53%"
"Jan 15, 2018","80.70","80.44","80.91","80.25","0.16%"
"Jan 12, 2018","80.57","80.77","80.92","80.38","-0.26%"
"Jan 11, 2018","80.78","80.22","80.83","80.12","0.71%"
"Jan 10, 2018","80.21","80.67","80.70","80.02","-0.57%"
"Jan 09, 2018","80.67","81.16","81.34","80.56","-0.60%"
"Jan 08, 2018","81.16","81.02","81.30","80.84","0.12%"
"Jan 05, 2018","81.06","80.67","81.31","80.64","0.48%"
"Jan 04, 2018","80.67","79.79","80.77","79.74","1.10%"
"Jan 03, 2018","79.79","79.78","79.97","79.48","0.01%"
"Jan 02, 2018","79.78","80.06","80.33","79.64","-0.34%"
"Jan 01, 2018","80.05","79.84","80.06","79.83","0.24%"
"Dec 29, 2017","79.86","80.00","80.18","79.81","-0.21%"
"Dec 28, 2017","80.03","80.05","80.17","79.83","-0.01%"
"Dec 27, 2017","80.04","79.71","80.19","79.57","0.43%"
"Dec 26, 2017","79.70","79.53","79.77","79.44","0.20%"
