"Date","Price","Open","High","Low","Change %"
"Jul 16, 2015","129.62","129.95","130.29","129.34","-0.30%"
"Jul 15, 2015","130.01","130.43","130.84","129.70","-0.43%"
"Jul 14, 2015","130.57","129.83","131.01","129.37","0.53%"
"Jul 13, 2015","129.88","129.87","131.38","129.65","-0.63%"
"Jul 10, 2015","130.71","127.97","131.24","127.73","2.12%"
"Jul 09, 2015","128.00","127.63","128.90","127.34","0.26%"
"Jul 08, 2015","127.67","129.37","129.55","127.05","-1.37%"
"Jul 07, 2015","129.44","129.98","130.29","128.35","-0.45%"
"Jul 06, 2015","130.03","129.73","130.27","128.85","-0.41%"
"Jul 03, 2015","130.57","130.39","130.92","129.96","0.10%"
"Jul 02, 2015","130.44","129.85","130.72","129.71","0.42%"
"Jul 01, 2015","129.89","130.92","131.43","129.71","-0.80%"
"Jun 30, 2015","130.94","132.45","132.56","130.15","-1.17%"
"Jun 29, 2015","132.49","131.48","132.54","129.62","-0.20%"
"Jun 26, 2015","132.75","131.91","133.04","131.49","0.60%"
"Jun 25, 2015","131.96","132.58","132.75","131.20","-0.51%"
"Jun 24, 2015","132.63","132.62","133.48","132.27","-0.04%"
"Jun 23, 2015","132.68","133.84","134.01","132.09","-0.90%"
"Jun 22, 2015","133.88","133.81","134.54","133.38","0.14%"
"Jun 19, 2015","133.69","133.44","133.88","132.69","0.17%"
"Jun 18, 2015","133.46","133.70","134.21","133.02","-0.22%"
"Jun 17, 2015","133.75","132.27","134.67","132.20","1.08%"
"Jun 16, 2015","132.32","132.71","133.31","132.01","-0.35%"
"Jun 15, 2015","132.78","132.74","133.05","131.38","-0.02%"
"Jun 12, 2015","132.81","132.11","133.29","131.62","0.43%"
"Jun 11, 2015","132.24","131.56","132.55","131.54","0.42%"
"Jun 10, 2015","131.69","133.49","133.87","131.47","-1.39%"
"Jun 09, 2015","133.54","134.20","134.67","133.09","-0.53%"
"Jun 08, 2015","134.25","133.62","134.52","132.98","0.39%"
"Jun 05, 2015","133.73","133.18","134.35","132.24","0.38%"
"Jun 04, 2015","133.23","132.98","133.69","132.52","0.13%"
"Jun 03, 2015","133.06","132.95","133.27","132.14","0.05%"
"Jun 02, 2015","133.00","131.87","133.29","131.71","0.82%"
"Jun 01, 2015","131.92","131.97","132.12","130.86","-0.08%"
"May 29, 2015","132.03","131.33","132.50","130.62","0.52%"
"May 28, 2015","131.35","130.24","131.50","130.08","0.84%"
"May 27, 2015","130.26","129.10","130.54","128.97","0.87%"
"May 26, 2015","129.14","128.57","130.06","128.42","0.40%"
"May 25, 2015","128.63","128.62","129.34","128.33","-0.09%"
"May 22, 2015","128.74","129.17","130.09","128.37","-0.36%"
"May 21, 2015","129.20","129.38","130.12","128.90","-0.21%"
"May 20, 2015","129.47","128.79","129.76","128.57","0.50%"
"May 19, 2015","128.82","129.46","129.78","128.11","-0.53%"
"May 18, 2015","129.50","130.19","130.60","129.44","-0.57%"
"May 15, 2015","130.24","130.48","131.13","129.22","-0.24%"
"May 14, 2015","130.55","129.94","131.35","129.82","0.44%"
"May 13, 2015","129.98","128.98","130.09","128.76","0.78%"
"May 12, 2015","128.98","128.49","130.29","128.29","0.35%"
"May 11, 2015","128.53","128.52","129.12","128.06","-0.13%"
"May 08, 2015","128.70","129.86","130.44","128.35","-0.93%"
"May 07, 2015","129.91","130.33","131.46","129.57","-0.36%"
"May 06, 2015","130.38","129.33","130.92","129.16","0.73%"
"May 05, 2015","129.43","128.60","129.80","127.63","0.59%"
"May 04, 2015","128.67","128.82","129.09","127.93","-0.15%"
"May 01, 2015","128.86","127.91","129.16","127.85","0.67%"
"Apr 30, 2015","128.00","126.63","128.31","125.76","1.06%"
"Apr 29, 2015","126.66","124.36","127.25","124.03","1.80%"
"Apr 28, 2015","124.42","124.66","125.07","123.85","-0.21%"
"Apr 27, 2015","124.68","124.69","125.47","124.27","-0.02%"
"Apr 24, 2015","124.71","125.21","125.57","124.42","-0.43%"
"Apr 23, 2015","125.25","123.34","125.53","123.29","1.49%"
"Apr 22, 2015","123.41","125.19","125.73","123.33","-1.54%"
"Apr 21, 2015","125.34","124.53","125.69","124.04","0.58%"
"Apr 20, 2015","124.62","124.76","125.21","123.93","-0.24%"
"Apr 17, 2015","124.92","124.40","125.08","123.95","0.35%"
"Apr 16, 2015","124.48","123.49","124.66","122.64","0.77%"
"Apr 15, 2015","123.53","122.69","123.60","122.20","0.67%"
"Apr 14, 2015","122.71","122.78","123.20","122.10","-0.11%"
"Apr 13, 2015","122.84","122.60","123.25","121.88","0.06%"
"Apr 10, 2015","122.77","123.29","123.59","122.30","-0.48%"
"Apr 09, 2015","123.36","124.24","124.40","123.05","-0.74%"
"Apr 08, 2015","124.28","124.39","124.78","123.96","-0.18%"
"Apr 07, 2015","124.51","124.64","125.33","124.33","-0.14%"
"Apr 06, 2015","124.69","124.90","125.33","124.42","-0.23%"
"Apr 03, 2015","124.98","124.70","125.82","124.41","0.20%"
"Apr 02, 2015","124.73","123.84","125.18","123.58","0.68%"
"Apr 01, 2015","123.89","123.47","124.16","123.13","0.30%"
"Mar 31, 2015","123.52","124.09","124.40","122.96","-0.50%"
"Mar 30, 2015","124.14","123.86","124.64","123.37","0.17%"
"Mar 27, 2015","123.93","123.73","124.62","123.07","0.12%"
"Mar 26, 2015","123.78","124.47","124.93","123.37","-0.58%"
"Mar 25, 2015","124.50","124.95","125.11","124.16","-0.38%"
"Mar 24, 2015","124.98","123.88","125.40","123.39","0.86%"
"Mar 23, 2015","123.92","122.83","124.19","122.22","0.69%"
"Mar 20, 2015","123.07","121.97","123.76","121.86","0.88%"
"Mar 19, 2015","122.00","122.74","123.00","120.84","-0.61%"
"Mar 18, 2015","122.75","120.58","124.11","120.36","1.78%"
"Mar 17, 2015","120.60","120.37","121.21","120.19","0.17%"
"Mar 16, 2015","120.40","120.77","121.01","120.27","-0.34%"
"Mar 13, 2015","120.81","120.94","121.10","120.02","-0.17%"
"Mar 12, 2015","121.02","120.32","121.25","119.85","0.57%"
"Mar 11, 2015","120.33","121.17","121.70","120.05","-0.71%"
"Mar 10, 2015","121.19","122.87","123.36","121.05","-1.38%"
"Mar 09, 2015","122.89","122.38","123.24","122.21","0.29%"
"Mar 06, 2015","122.53","123.24","123.67","122.34","-0.62%"
"Mar 05, 2015","123.30","124.22","124.70","123.17","-0.76%"
"Mar 04, 2015","124.25","124.51","124.83","123.58","-0.26%"
"Mar 03, 2015","124.58","125.31","125.61","124.31","-0.63%"
"Mar 02, 2015","125.37","125.27","125.82","124.97","-0.02%"
"Feb 27, 2015","125.40","125.25","126.35","124.92","0.07%"
"Feb 26, 2015","125.31","125.31","125.74","124.73","0.00%"
"Feb 25, 2015","125.31","125.15","125.61","124.72","0.10%"
"Feb 24, 2015","125.18","125.12","126.09","124.89","0.05%"
"Feb 23, 2015","125.12","126.60","126.81","124.69","-1.11%"
"Feb 20, 2015","126.53","125.24","126.73","124.30","1.01%"
"Feb 19, 2015","125.27","126.05","126.57","125.14","-0.63%"
"Feb 18, 2015","126.07","127.23","127.93","125.73","-0.97%"
"Feb 17, 2015","127.31","127.07","127.94","126.49","0.17%"
"Feb 16, 2015","127.09","127.13","127.74","126.69","-0.22%"
"Feb 13, 2015","127.37","127.86","128.33","127.08","-0.45%"
"Feb 12, 2015","127.95","129.71","130.03","127.50","-1.38%"
"Feb 11, 2015","129.74","128.89","130.08","128.63","0.62%"
"Feb 10, 2015","128.94","128.42","129.28","127.98","0.39%"
"Feb 09, 2015","128.44","128.39","129.01","127.68","-0.10%"
"Feb 06, 2015","128.57","127.55","129.12","126.70","0.77%"
